EC_number,Substrate,UniProt_ID,Protein_file,Organism_name,Km_value (mM),pH,Temperature,Site_type,Substrate_SMILES,Mol_file,pKm_value
1.1.1.184,"2,2,2-trifluoroacetophenone",Q9X265,6KIY.pdb,Thermotoga maritima,0.3,9,70°C,Substrate+Cofactor,FC(C(=O)C1=CC=CC=C1)(F)F,mol_88.sdf,-0.522878745
1.1.1.184,ethyl 2-oxo-4-phenylbutyrate,Q9X265,6KIY.pdb,Thermotoga maritima,6,9,70°C,Substrate+Cofactor,O=C(C(=O)OCC)CCC1=CC=CC=C1,mol_87.sdf,0.77815125
1.1.1.184,ethyl 2-methylacetoacetate,Q9X265,6KIY.pdb,Thermotoga maritima,4.9,9,70°C,Substrate+Cofactor,CC(C(=O)OCC)C(=O)C,mol_86.sdf,0.69019608
1.1.1.184,ethyl 4-chloro-3-oxobutanoate,Q9Y8Y1,5B1Y.pdb,Aeropyrum pernix,0.7,6,50°C,Cofactor_only,ClCC(CC(=O)OCC)=O,mol_89.sdf,-0.15490196
1.1.1.184,"9,10-phenanthrenequinone",Q9Y8Y1,5B1Y.pdb,Aeropyrum pernix,0.0145,6,50°C,Cofactor_only,C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,mol_66.sdf,-1.838631998
1.1.1.184,"1,4-Naphthoquinone",P16152,1WMA.pdb,Homo sapiens,0.032,7.4,25°C,Substrate+Cofactor,C1(C=CC(C2=CC=CC=C12)=O)=O,mol_75.sdf,-1.494850022
1.1.1.184,"1,4-Naphthoquinone",P16152,1WMA.pdb,Homo sapiens,0.032,7.4,37°C,Substrate+Cofactor,C1(C=CC(C2=CC=CC=C12)=O)=O,mol_75.sdf,-1.494850022
1.1.1.184,"1,2-naphthoquinone",P16152,1WMA.pdb,Homo sapiens,0.090498619,7.4,25°C,Substrate+Cofactor,C1(C(C=CC2=CC=CC=C12)=O)=O,mol_90.sdf,-1.043358049
1.1.1.184,"1,2-naphthoquinone",P16152,1WMA.pdb,Homo sapiens,0.090498619,7.4,37°C,Substrate+Cofactor,C1(C(C=CC2=CC=CC=C12)=O)=O,mol_90.sdf,-1.043358049
1.1.1.184,4-benzoylpyridine,P16152,1WMA.pdb,Homo sapiens,0.25,7.4,25°C,Substrate+Cofactor,C(C1=CC=CC=C1)(=O)C1=CC=NC=C1,mol_70.sdf,-0.602059991
1.1.1.184,4-benzoylpyridine,P16152,1WMA.pdb,Homo sapiens,0.25,7.4,37°C,Substrate+Cofactor,C(C1=CC=CC=C1)(=O)C1=CC=NC=C1,mol_70.sdf,-0.602059991
1.1.1.184,daunorubicin,P16152,1WMA.pdb,Homo sapiens,0.051,-----,-----,Substrate+Cofactor,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,mol_74.sdf,-1.292429824
1.1.1.184,"9,10-phenanthrenequinone",P16152,1WMA.pdb,Homo sapiens,0.0354,-----,-----,Substrate+Cofactor,C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,mol_66.sdf,-1.450996738
1.1.1.184,"9,10-phenanthrenequinone",P16152,1WMA.pdb,Homo sapiens,0.0354,7.4,-----,Substrate+Cofactor,C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,mol_66.sdf,-1.450996738
1.1.1.184,"9,10-phenanthrenequinone",Q8WNV7,2ZAT.pdb,Sus scrofa,0.002,6,-----,Cofactor_only,C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,mol_66.sdf,-2.698970004
1.1.1.188,prostaglandin H2,P15121,1US0.pdb,Homo sapiens,0.029,5.5,37°C,Substrate+Cofactor,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)O,mol_2031.sdf,-1.537602002
1.1.1.188,prostaglandin H2,P15121,1US0.pdb,Homo sapiens,0.0019,-----,-----,Substrate+Cofactor,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)O,mol_2031.sdf,-2.721246399
1.1.1.188,NADPH,P15121,1US0.pdb,Homo sapiens,0.0057,-----,-----,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2.244125144
1.1.1.188,"9,10-phenanthrenequinone",P42330,1ZQ5.pdb,Homo sapiens,0.0015,7,37°C,Substrate+Cofactor,C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O,mol_66.sdf,-2.823908741
1.1.1.205,IMP,A0A2R4D3F6,6MGR.pdb,Campylobacter jejuni,0.012,8,25°C,Substrate_only,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,mol_100.sdf,-1.920818754
1.1.1.205,inosine 5'-phosphate,P20839,7RGL.pdb,Homo sapiens,0.011,8,25°C,Substrate+Cofactor,P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(O)=NC=NC12)O)O,mol_2166.sdf,-1.958607315
1.1.1.205,NAD+,P9WKI7,4ZQM.pdb,Mycobacterium tuberculosis,1.005,8,25°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,0.002166062
1.1.1.205,NAD+,P9WKI7,4ZQM.pdb,Mycobacterium tuberculosis,1.005,8,22°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,0.002166062
1.1.1.206,Tropine,P50162,1AE1.pdb,Datura stramonium,0.34,9.6,22°C,Cofactor_only,CN1C2CCC1CC(C2)O,mol_102.sdf,-0.468521083
1.1.1.206,tropinone,P50162,1AE1.pdb,Datura stramonium,4.18,6.4,22°C,Cofactor_only,CN1C2CCC1CC(=O)C2,mol_103.sdf,0.621176282
1.1.1.209,"5alpha-pregnane-3alpha,20alpha-diol",Q91WR5,2HEJ.pdb,Mus musculus,0.000547723,-----,-----,Substrate+Cofactor,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,mol_108.sdf,-3.261439373
1.1.1.209,5beta-pregnane-20alpha-ol-3-one,Q91WR5,2HEJ.pdb,Mus musculus,0.0002,7,25°C,Substrate+Cofactor,C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC[C@@]2(CC(C1)=O)[H])[H])(CC[C@]4([H])[C@@H](O)C)[H])C)[H])C,mol_110.sdf,-3.698970004
1.1.1.209,5beta-androstan-17alpha-ol-3-one,Q91WR5,2HEJ.pdb,Mus musculus,0.0004,-----,-----,Substrate+Cofactor,C[C@]12[C@H]3CC[C@@]4([C@@H](CC[C@H]4[C@@H]3CC[C@@H]2CC(CC1)=O)O,mol_109.sdf,-3.397940009
1.1.1.209,"5beta-pregnane-3,20-dione",Q91WR5,2HEJ.pdb,Mus musculus,0.0006,7,25°C,Substrate+Cofactor,CC([C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(CC[C@]4(C)[C@H]3CC[C@]12C)=O)=O,mol_104.sdf,-3.22184875
1.1.1.209,lithocholic acid,Q91WR5,2HEJ.pdb,Mus musculus,0.0001,7,25°C,Substrate+Cofactor,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,mol_105.sdf,-4
1.1.1.209,"4-androstene-3,17-dione",Q91WR5,2HEJ.pdb,Mus musculus,0.0002,-----,-----,Substrate+Cofactor,C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)=O,mol_91.sdf,-3.698970004
1.1.1.209,"4-androstene-3,17-dione",Q91WR5,2HEJ.pdb,Mus musculus,0.0002,7,25°C,Substrate+Cofactor,C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)=O,mol_91.sdf,-3.698970004
